纬度,经度,地点,项目,形式
45.4,141.681,北海道稚内市,方言点所属保守方言区,日本.出云-东北.北东北
45.305,141.023,北海道礼文町,方言点所属保守方言区,日本.出云-东北.北东北
45.198,141.143,北海道利尻町,方言点所属保守方言区,日本.出云-东北.北东北
44.937,142.58,北海道枝幸町,方言点所属保守方言区,日本.出云-东北.北东北
44.364,142.395,北海道名寄市,方言点所属保守方言区,日本.出云-东北.北东北
44.363,141.699,北海道羽幌町,方言点所属保守方言区,日本.出云-东北.北东北
43.896,144.29,北海道網走市,方言点所属保守方言区,日本.出云-东北.北东北
43.659,145.02,北海道標津町,方言点所属保守方言区,日本.出云-东北.北东北
43.646,141.352,北海道浜益村,方言点所属保守方言区,日本.出云-东北.北东北
43.457,142.48,北海道上富良野町,方言点所属保守方言区,日本.出云-东北.北东北
43.329,145.572,北海道根室市,方言点所属保守方言区,日本.出云-东北.北东北
43.203,140.774,北海道余市町,方言点所属保守方言区,日本.出云-东北.北东北
42.991,143.22,北海道音更町,方言点所属保守方言区,日本.出云-东北.北东北
42.953,144.533,北海道釧路町,方言点所属保守方言区,日本.出云-东北.北东北
42.688,139.982,北海道島牧村,方言点所属保守方言区,日本.出云-东北.北东北
42.442,141.158,北海道登別市,方言点所属保守方言区,日本.出云-东北.北东北
42.35,142.37,北海道静内町,方言点所属保守方言区,日本.出云-东北.北东北
42.253,143.309,北海道広尾町,方言点所属保守方言区,日本.出云-东北.北东北
42.226,140.285,北海道八雲町,方言点所属保守方言区,日本.出云-东北.北东北
42.188,139.522,北海道奥尻町,方言点所属保守方言区,日本.出云-东北.北东北
41.936,143.242,北海道えりも町,方言点所属保守方言区,日本.出云-东北.北东北
41.922,140.149,北海道江差町,方言点所属保守方言区,日本.出云-东北.北东北
41.833,141.145,北海道椴法華村,方言点所属保守方言区,日本.出云-东北.北东北
41.458,140.243,北海道福島町,方言点所属保守方言区,日本.出云-东北.北东北
41.428,140.105,北海道松前町,方言点所属保守方言区,日本.出云-东北.北东北
41.286,141.212,青森県むつ市,方言点所属保守方言区,日本.出云-东北.北东北
41.146,140.824,青森県脇野沢村,方言点所属保守方言区,日本.出云-东北.北东北
41.088,141.392,青森県六ヶ所村,方言点所属保守方言区,日本.出云-东北.北东北
41.043,140.641,青森県蟹田町,方言点所属保守方言区,日本.出云-东北.北东北
40.865,141.128,青森県野辺地町,方言点所属保守方言区,日本.出云-东北.北东北
40.822,140.309,青森県木造町,方言点所属保守方言区,日本.出云-东北.北东北
40.81,140.444,青森県五所川原市,方言点所属保守方言区,日本.出云-东北.北东北
40.81,140.731,青森県青森市,方言点所属保守方言区,日本.出云-东北.北东北
40.748,140.093,青森県深浦町,方言点所属保守方言区,日本.出云-东北.北东北
40.663,140.428,青森県弘前市,方言点所属保守方言区,日本.出云-东北.北东北
40.624,141.203,青森県十和田市,方言点所属保守方言区,日本.出云-东北.北东北
40.584,141.468,青森県八戸市,方言点所属保守方言区,日本.出云-东北.北东北
40.519,140.576,青森県大鰐町,方言点所属保守方言区,日本.出云-东北.北东北
40.291,141.069,青森県田子町,方言点所属保守方言区,日本.出云-东北.北东北
40.304,141.78,岩手県種市町,方言点所属保守方言区,日本.出云-东北.北东北
40.195,141.762,岩手県久慈市(栄町),方言点所属保守方言区,日本.出云-东北.北东北
40.162,141.428,岩手県九戸村,方言点所属保守方言区,日本.出云-东北.北东北
40.125,141.803,岩手県久慈市(宇部町),方言点所属保守方言区,日本.出云-东北.北东北
40.05,141.002,岩手県安代町,方言点所属保守方言区,日本.出云-东北.北东北
40.014,141.473,岩手県葛巻町,方言点所属保守方言区,日本.出云-东北.北东北
39.847,141.789,岩手県岩泉町,方言点所属保守方言区,日本.出云-东北.北东北
39.737,141.967,岩手県田老町,方言点所属保守方言区,日本.出云-东北.北东北
39.726,140.967,岩手県雫石町,方言点所属保守方言区,日本.出云-东北.北东北
39.696,141.166,岩手県盛岡市,方言点所属保守方言区,日本.出云-东北.北东北
39.642,141.954,岩手県宮古市,方言点所属保守方言区,日本.出云-东北.北东北
39.598,141.762,岩手県新里村,方言点所属保守方言区,日本.出云-东北.北东北
39.46,140.774,岩手県沢内村,方言点所属保守方言区,日本.出云-东北.北东北
39.43,141.974,岩手県山田町,方言点所属保守方言区,日本.出云-东北.北东北
39.363,141.586,岩手県遠野市,方言点所属保守方言区,日本.出云-东北.北东北
39.291,141.13,岩手県北上市,方言点所属保守方言区,日本.出云-东北.南东北
39.208,141.867,岩手県釜石市,方言点所属保守方言区,日本.出云-东北.南东北
39.097,141.724,岩手県大船渡市,方言点所属保守方言区,日本.出云-东北.南东北
39.051,141.129,岩手県前沢町,方言点所属保守方言区,日本.出云-东北.南东北
38.932,141.128,岩手県一関市,方言点所属保守方言区,日本.出云-东北.南东北
38.899,141.269,岩手県川崎村,方言点所属保守方言区,日本.出云-东北.南东北
38.892,141.393,岩手県千厩町,方言点所属保守方言区,日本.出云-东北.南东北
38.88,141.563,宮城県気仙沼市,方言点所属保守方言区,日本.出云-东北.南东北
38.805,140.668,宮城県鳴子町,方言点所属保守方言区,日本.出云-东北.南东北
38.769,141.328,宮城県東和町,方言点所属保守方言区,日本.出云-东北.南东北
38.604,140.681,宮城県小野田町,方言点所属保守方言区,日本.出云-东北.南东北
38.538,141.132,宮城県涌谷町,方言点所属保守方言区,日本.出云-东北.南东北
38.441,140.885,宮城県大和町,方言点所属保守方言区,日本.出云-东北.南东北
38.418,141.371,宮城県石巻市,方言点所属保守方言区,日本.出云-东北.南东北
38.244,140.94,宮城県仙台市,方言点所属保守方言区,日本.出云-东北.南东北
38.176,140.641,宮城県川崎町,方言点所属保守方言区,日本.出云-东北.南东北
38.007,140.417,宮城県七ヶ宿町,方言点所属保守方言区,日本.出云-东北.南东北
37.965,140.83,宮城県角田市,方言点所属保守方言区,日本.出云-东北.南东北
40.285,140.591,秋田県大館市,方言点所属保守方言区,日本.出云-东北.北东北
40.196,140.039,秋田県能代市,方言点所属保守方言区,日本.出云-东北.北东北
40.142,140.804,秋田県鹿角市,方言点所属保守方言区,日本.出云-东北.北东北
39.946,140.119,秋田県五城目町,方言点所属保守方言区,日本.出云-东北.北东北
39.921,139.905,秋田県男鹿市,方言点所属保守方言区,日本.出云-东北.北东北
39.716,140.114,秋田県秋田市,方言点所属保守方言区,日本.出云-东北.北东北
39.583,140.57,秋田県角館町,方言点所属保守方言区,日本.出云-东北.北东北
39.387,140.037,秋田県本荘市,方言点所属保守方言区,日本.出云-东北.北东北
