hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
a,a,,感叹,,1.3b; 去,1.3b,声：吃惊、感动、打招呼、回应、失望、对对方的话感到安心、把突然想到的事情说出口。,,,,,,,,,,,a,,,,2,1,0,,,,,,,,,,a 阿 (噫),,,,ア,日,,,,,,,,
a,a（彼）,彼,代,,1.2; 江户 F (= HL),1.2,那（远指）。,3 | 左様.a.o | *a,,北 *a,*a,,,,,,,彼.a,,,,2,1,0,,,,,,,,,,a,,,,ア,日|北琉,,,,,,,,
a,a（畔）,畔 畦,名,,镰仓 LL,,田间土堤、田界、田埂。,,a,,,,,,,,,畔.a,,,地形,2,1,0,,,,,a 阿,,,,,,,,,ア,日,,,,,,,,
a,a（吾）,吾 我,代,,"镰仓 a LL, a=ga LH",,"我。（上代时 a 无复数含义，与 are 的主要区别在于属格 -ga 只接在 a 后，与格 -ni 只接在 are 后。EOJ, 中古可用作第二人称反身代词，中古时已不用于第一人称；琉球语中，此短式接属格 *=ga；书面冲绳语中，带有 a- 的形式被用来表示对听者的尊重）",4 | 吾.a.n | *a | 3 M(B),,*a,*a,,,,,,,吾.a,,,,4,1,2,新羅 阿,,,,a 安 阿 (吾),,上野 常陸 不明 a 阿 安,,,,,,,ア,日|琉,,,吾 OC *ŋˤa；我 OC *ŋˤajʔ,第一人称单数主格：PAN *aku,,,,
a,a（足）,足,名,,,,下肢、脚（用于构成复合词，EOJ 中可独用）。,,,,,,,,,,,足.a,,,器官,3,1,0,,,,,3 a- 安 阿,,3 下総 a,,,,,,,ア,日,,,,,,,,
aa,aa（彼）,彼,副,,2.1; x - [0/1]-[0]-A,2.1,像那样（远指）。,,,,,,,,,,,彼.a,,,,2,1,0,,,,,,,,,,,,aa,,アア,日,,,,,,,,
aa,aa（嗚呼）,嗚呼 唖唖,感叹,,"[1]-[1]-A x-A-x. 镰仓 LH, LL. 室町, 江户 HL",,声：因胜利骄傲自满、嘲笑、吃惊、悲伤、喜悦、疑问、打招呼、同意。,,a+a,,,,,,,,a+a,a,,,,3,1,0,,,,,(嗟乎),,,,,aa,,,,アア,日,,,,,,,,
aaa,aaa,,感叹,,,,声：哈欠、叹气、惊讶。,,a+a+a,,,,,,,,a+a+a,a,,,,2,1,0,,,,,,,,,,,,aaa,,アアア,日,,,,,,,,
aaaa,aaaa,,感叹,,,,声：非常失望、赞同。,,a+a+a+a,,,,,,,,a+a+a+a,a,,,,2,1,0,,,,,,,,,,,,aaaa,,アアアア,日,,,,,,,,
aae,aae,,感叹,,,,声：不同意（= iee）。,6 | いいえ.a.o | *aae,a+a+e,*a+a+e,*a+a+e,,,,,,a+a+e,a|e,,,,1,1,0,,,,,,,,,,,,,,アアエ,出|琉,,,,,,,,
aan,aan,,感叹・副,,,,声：（江户时代）孩子或女性行礼；趾高气扬地向下级询问；撒娇；孩童大哭；态：大口张开的样子。,,a+a-n,,,,,*-n,,,a+a,a,,,,2,1,0,,,,,,,,,,,,aan,,アアン,日,,,,,,,,
ababa,ababa（唖）,唖,名,,,,（方言、南琉球八重山）哑。,7 | 唖.a.n | *ababa,,八重山 *ab(a)+aba,*ab(a)+aba,,,,,,哑+哑,哑.a,,,疾,1,1,0,,,,,,,,,,,,,,アババ,日|南琉八,,,,,,,,
abadare*,abadare*（裸）,裸,名,,,,（南琉球八重山）裸。,6330 | 裸.a.n | *abadar[e],,八重山 *aba+dare,,,,*-(i)-i,,,荒+垂,粗.p|垂.t,荒,,状态,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
abakeru,abakeru,,自动,,,,（东日本）开玩笑、撒娇嬉戏、恶作剧、逗乐、胡闹。,,abake-,,,,,*-i-,,,,粗.a,荒,,,1,1,0,,,,,,,,,,,,,,アバケル,东日,,,,,,,,
abakeru,abakeru（褫）,褫,自动,,,,肿疮、灸痕等化脓溃烂。,,aba-ke-,,,,,*-ka-i-,,,,粗.a,荒,,,3,1,0,,,,,,,,,,,abake-,,アバク,アバケル,日,,,,,,,,
abaku,abaku（褫）,褫,自动,,B-A-x,,脱落、倒塌、崩溃、松懈。,,aba-k-,,,,,*-k-,,,,粗.a,荒,,,4,1,0,,,,,,,,,,afak- (阿波計),abak-,,アハク,アバク,日,,,,,,,,
