纬度,经度,地点,项目,形式
41.286,141.212,下北半岛,"区分 PJR {*ui, *oi}, *ǝi",不区分
40.195,141.762,东岩手,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.196,133.449,出云周边（东）,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.034,132.381,出云周边（西）,"区分 PJR {*ui, *oi}, *ǝi",不区分
40.142,140.804,北东北,"区分 PJR {*ui, *oi}, *ǝi",不区分
38.244,140.94,南东北,"区分 PJR {*ui, *oi}, *ǝi",不区分
36.378,140.457,东关东,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.3606 ,132.7739 ,中央出云,"区分 PJR {*ui, *oi}, *ǝi",不区分
34.7431 ,139.2376 ,北部伊豆,"区分 PJR {*ui, *oi}, *ǝi",不区分
33.066,139.813,八丈,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.419,139.629,西关东,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.699,140.851,房总半岛,"区分 PJR {*ui, *oi}, *ǝi",不区分
37.362,138.553,越后,"区分 PJR {*ui, *oi}, *ǝi",不区分
36.398,138.251,长山东静,"区分 PJR {*ui, *oi}, *ǝi",不区分
34.763,137.874,西静冈,"区分 PJR {*ui, *oi}, *ǝi",不区分
36.699,137.205,富山,"区分 PJR {*ui, *oi}, *ǝi",不区分
37.3104,137.1471,石川,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.471,136.777,岐爱,"区分 PJR {*ui, *oi}, *ǝi",不区分
35.01,135.755,近畿,"区分 PJR {*ui, *oi}, *ǝi",不区分
33.955,135.739,十津川,"区分 PJR {*ui, *oi}, *ǝi",不区分
34.094,134.578,东四国,"区分 PJR {*ui, *oi}, *ǝi",不区分
33.544,133.508,南四国,"区分 PJR {*ui, *oi}, *ǝi",不区分
33.815,132.732,西四国,"区分 PJR {*ui, *oi}, *ǝi",不区分
34.374,132.439,中国,"区分 PJR {*ui, *oi}, *ǝi",不区分
